"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Henry County Medical Center","Paris","TN","Government","3","Below","Below","Above","Above","Same","Same","Same","22846","Average","Average","16561","Worse","Average","16700","Average","Average","24738","Average","Higher"
"Saint Thomas Midtown Hospital","Nashville","TN","Private","3","Same","Below","Above","Above","Same","Same","Same","20844","Average","Lower","16411","Average","Average","16262","Average","Lower","18756","Average","Lower"
"Tennova Healthcare-shelbyville","Shelbyville","TN","Proprietary","3","Same","None","Same","Same","Same","Same","Same","0","Unknown","Unknown","16636","Average","Average","16820","Average","Average","0","Unknown","Unknown"
"Tennova Healthcare-harton","Tullahoma","TN","Unknown","3","Same","Below","Above","Same","Same","Same","Same","22805","Average","Average","17153","Average","Average","16188","Average","Lower","26608","Average","Higher"
"Saint Thomas Dekalb Hospital","Smithville","TN","Church","4","Same","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","15348","Average","Average","16302","Average","Average","0","Unknown","Unknown"
"Tristar Summit Medical Center","Hermitage","TN","Proprietary","2","Same","Above","Below","Below","Same","Same","Same","23612","Average","Average","15960","Average","Average","17969","Average","Average","23043","Average","Higher"
"Saint Thomas River Park Hospital","Mc Minnville","TN","Proprietary","3","Same","Above","Same","Same","Same","Same","Same","0","Unknown","Unknown","16338","Average","Average","17432","Average","Average","25250","Average","Higher"
"Regional One Health","Memphis","TN","Government","1","None","Below","Same","Below","Same","Below","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20955","Average","Average"
"Tennova Healthcare-newport Medical Center","Newport","TN","Church","3","Same","None","Above","Below","Same","Above","Same","0","Unknown","Unknown","16008","Average","Average","17334","Average","Average","0","Unknown","Unknown"
"Parkridge Medical Center","Chattanooga","TN","Proprietary","3","Same","Below","Above","Below","Above","Same","Same","25966","Average","Higher","17594","Average","Average","18021","Average","Average","21355","Average","Average"
"Delta Medical Center","Memphis","TN","Proprietary","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Tristar Centennial Medical Center","Nashville","TN","Proprietary","4","Same","Above","Below","Same","Same","Same","Same","25809","Average","Higher","17597","Average","Average","16194","Average","Lower","18977","Average","Lower"
"Parkwest Medical Center","Knoxville","TN","Private","2","Below","Above","Above","Above","Same","Below","Same","22207","Average","Lower","16252","Worse","Average","17037","Worse","Average","19865","Average","Lower"
"Southern Tennessee Regional Health System Lawrence","Lawrenceburg","TN","Unknown","4","Same","Above","Same","Same","Same","Above","Same","0","Unknown","Unknown","16815","Average","Average","15902","Better","Lower","0","Unknown","Unknown"
"Indian Path Community Hospital","Kingsport","TN","Private","4","Same","Same","Same","Same","Same","Above","Same","22606","Average","Average","17362","Average","Average","18876","Average","Higher","21079","Average","Average"
"Jellico Community Hospital","Jellico","TN","Private","3","Same","None","Above","Same","Same","Same","None","0","Unknown","Unknown","14445","Average","Lower","15834","Average","Average","0","Unknown","Unknown"
"Mckenzie Regional Hospital","Mc Kenzie","TN","Proprietary","3","Same","None","Above","Below","Same","Above","Same","0","Unknown","Unknown","16455","Average","Average","18013","Average","Average","0","Unknown","Unknown"
"St Francis Hospital","Memphis","TN","Proprietary","3","Same","Above","Above","Below","Same","Same","Same","21094","Average","Lower","16737","Average","Average","19272","Average","Higher","21495","Average","Average"
"Franklin Woods Community Hospital","Johnson City","TN","Private","4","Same","Above","Below","Above","Same","Same","Below","0","Unknown","Unknown","16512","Average","Average","16611","Average","Average","0","Unknown","Unknown"
"Tennova Healthcare-cleveland","Cleveland","TN","Proprietary","1","Below","Below","Above","Same","Same","Below","Same","23392","Average","Average","15741","Average","Average","18745","Average","Higher","21928","Average","Average"
"Livingston Regional Hospital","Livingston","TN","Proprietary","4","Below","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","15627","Average","Average","16535","Worse","Average","0","Unknown","Unknown"
"Saint Thomas Highlands Hospital","Sparta","TN","Proprietary","3","Same","None","Same","Same","Same","Same","Same","0","Unknown","Unknown","16085","Average","Average","18086","Average","Average","0","Unknown","Unknown"
"Tennova Healthcare-lebanon","Lebanon","TN","Private","2","Same","Same","Below","Below","Same","Same","Same","22722","Average","Average","15493","Average","Average","18302","Average","Average","21403","Average","Average"
"Tristar Hendersonville Medical Center","Hendersonville","TN","Unknown","3","Same","Above","Same","Below","Same","Above","Same","22818","Average","Average","16987","Average","Average","17328","Average","Average","18434","Average","Lower"
"Tristar Southern Hills Medical Center","Nashville","TN","Proprietary","2","Same","Below","Same","Same","Same","Above","Same","25988","Average","Average","16723","Average","Average","18155","Average","Average","18156","Average","Lower"
"Saint Thomas Stones River Hospital","Woodbury","TN","Proprietary","4","Same","None","Above","None","Same","Above","None","0","Unknown","Unknown","15939","Average","Average","16327","Average","Average","0","Unknown","Unknown"
"Saint Thomas Hospital For Specialty Surgery","Nashville","TN","Unknown","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18154","Average","Lower"
"Tristar Stonecrest Medical Center","Smyrna","TN","Proprietary","2","Same","Below","Below","Same","Same","Same","Same","21662","Average","Average","15976","Average","Average","18494","Average","Average","21531","Average","Average"
"Saint Francis Bartlett Medical Center","Bartlett","TN","Proprietary","3","Same","Above","Below","Same","Above","Same","Same","25930","Average","Average","16056","Average","Average","19105","Average","Higher","21259","Average","Average"
"Trustpoint Hospital","Murfreesboro","TN","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Big South Fork Medical Center","Oneida","TN","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Saint Thomas Hickman Hospital","Centerville","TN","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Trousdale Medical Center","Hartsville","TN","Unknown","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","16699","Average","Average","18257","Average","Average","0","Unknown","Unknown"
"Three Rivers Hospital","Waverly","TN","Private","2","None","None","Below","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","15550","Average","Lower","0","Unknown","Unknown"
"Johnson County Community Hospital","Mountain City","TN","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Macon Community Hospital","Lafayette","TN","Private","4","Same","None","Above","Above","Same","Same","Same","0","Unknown","Unknown","16396","Average","Average","14800","Average","Lower","0","Unknown","Unknown"
"Erlanger Bledsoe Hospital","Pikeville","TN","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Riverview Regional Medical Center","Carthage","TN","Proprietary","4","Same","None","Same","Above","Same","Above","None","0","Unknown","Unknown","17701","Average","Average","17293","Average","Average","0","Unknown","Unknown"
"Marshall Medical Center","Lewisburg","TN","Government","4","None","None","Same","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","15345","Average","Lower","0","Unknown","Unknown"
"Rhea Medical Center","Dayton","TN","Government","2","Below","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","17368","Average","Average","17408","Worse","Average","0","Unknown","Unknown"
"Tristar Ashland City Medical Center","Ashland City","TN","Proprietary","-1","None","None","None","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Hancock County Hospital","Sneedville","TN","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18428","Average","Average","0","Unknown","Unknown"
"Lauderdale Community Hospital","Ripley","TN","Proprietary","4","None","None","Above","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","14312","Average","Lower","0","Unknown","Unknown"
"Camden General Hospital","Camden","TN","Government","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","17453","Average","Average","19104","Average","Average","0","Unknown","Unknown"
"Cumberland River Hospital","Celina","TN","Government","-1","Same","None","Above","None","None","None","None","0","Unknown","Unknown","16668","Average","Average","18107","Average","Average","0","Unknown","Unknown"
"Houston County Community Hospital","Erin","TN","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St Jude Childrens Research Hospital","Memphis","TN","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"East Tennessee Childrens Hospital","Knoxville","TN","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"The Hospitals Of Providence Memorial Campus","El Paso","TX","Proprietary","3","Same","Same","Same","Below","Same","Same","Below","23115","Average","Average","16148","Average","Average","18169","Average","Average","25448","Average","Higher"
"Peterson Regional Medical Center","Kerrville","TX","Private","3","Same","Below","Above","Above","Same","Below","Same","26647","Average","Average","16292","Average","Average","18370","Average","Average","22870","Average","Higher"
"United Regional Health Care System","Wichita Falls","TX","Private","4","Below","Above","Above","Same","Same","Same","Same","22385","Average","Average","17778","Average","Higher","19267","Average","Higher","24006","Average","Higher"
"St Joseph Regional Health Center","Bryan","TX","Private","4","Same","Above","Above","Same","Same","Same","Same","23483","Average","Average","18122","Average","Higher","18001","Average","Average","22078","Average","Average"
"Parkland Health And Hospital System","Dallas","TX","Government","2","Same","Below","Below","Same","Below","Below","Same","25432","Average","Average","14518","Average","Lower","15627","Average","Lower","20737","Average","Average"
"University Of Texas Medical Branch","Galveston","TX","Government","2","Same","Same","Below","Above","Same","Same","Below","25571","Average","Average","16910","Average","Average","16564","Average","Average","25106","Average","Higher"
"Baylor University Medical Center","Dallas","TX","Church","3","Same","Below","Above","Same","Above","Below","Above","21623","Average","Average","17793","Average","Higher","17026","Better","Average","23437","Average","Higher"
"Citizens Medical Center","Victoria","TX","Unknown","4","Same","Above","Same","Same","Same","Above","Same","25218","Average","Average","18565","Average","Higher","19357","Average","Higher","22752","Average","Average"
